filename,gender,text,text_lenght,duration
cv-valid-train/sample-000020.mp3,male,it was faintly marked with transverse stripes and slightly flattened from the perfect round,91,5.784
cv-valid-train/sample-000029.mp3,male,the fire alarm went off again but when i looked outside there was no one there,78,5.208
cv-valid-train/sample-000179.mp3,male,he is going to transform himself into the wind just to demonstrate his powers,77,5.4
cv-valid-train/sample-000239.mp3,male,it's extremely suspicious that there's no information about brains that didn't come from a brain,96,5.688
cv-valid-train/sample-000637.mp3,male,they might even have become friends but the englishman closed off the conversation,82,5.616
cv-valid-train/sample-000684.mp3,male,the sheep fidgeted nearby uneasy with their new owner and excited by so much change,83,5.976
cv-valid-train/sample-000704.mp3,male,they're only made of rock crystal and there are millions of rock crystals in the earth,86,5.904
cv-valid-train/sample-000708.mp3,male,the day was dawning and the shepherd urged his sheep in the direction of the sun,80,5.736
cv-valid-train/sample-000841.mp3,male,the boy mumbled an answer that allowed him to avoid responding to her question,78,5.352
cv-valid-train/sample-000868.mp3,male,we don't know when the war will end so we can't continue our journey he said,76,4.968
cv-valid-train/sample-001092.mp3,male,the twenty million dollar project is projected to be finished in eight weeks,76,5.184
cv-valid-train/sample-001314.mp3,male,it spread through the planet's atmosphere and obscured its more familiar features,81,5.496
cv-valid-train/sample-001361.mp3,male,whatever the thing observed one could find a connection with his experience of the moment,89,5.928
cv-valid-train/sample-001808.mp3,male,i'm going to hate those who have found their treasure because i never found mine,80,5.472
cv-valid-train/sample-001885.mp3,male,she loves to read but is unsure how reading is helping her become more creative,79,5.784
cv-valid-train/sample-001900.mp3,male,they were tribesmen dressed in blue with black rings surrounding their turbans,78,5.136
cv-valid-train/sample-001904.mp3,male,one can imagine these two covered with sand running up the little street in the bright sunlight,95,5.76
cv-valid-train/sample-001921.mp3,male,i have been waiting for her to respond for two days now so i just went ahead and did it for her,95,5.016
cv-valid-train/sample-001930.mp3,male,the invaders carried the name everywhere the beautiful girl spoke of the invaders with pride,92,5.328
cv-valid-train/sample-001970.mp3,male,i was scared but wasted no time in going out and crossing the bridge to the sand pits,85,4.992
cv-valid-train/sample-002202.mp3,male,at that time it was quite clear in my own mind that the thing had come from the planet mars,91,5.736
cv-valid-train/sample-002267.mp3,male,on top of all that the weeds keep growing and the garbage has to be taken out,77,5.952
cv-valid-train/sample-002330.mp3,male,i had a momentary impulse to go back and help him but i was too scared to do anything,85,5.808
cv-valid-train/sample-002355.mp3,male,they locked themselves in their laboratories and tried to evolve as gold had,76,5.616
cv-valid-train/sample-002475.mp3,male,the boy mumbled an answer that allowed him to avoid responding to her question,78,5.136
cv-valid-train/sample-002563.mp3,male,they must be used to their new shepherd and have probably already forgotten me,78,5.784
cv-valid-train/sample-002567.mp3,male,when he saw henderson in his garden he called over the fence and made himself understood,88,5.472
cv-valid-train/sample-002604.mp3,male,he took his plate grabbed a knife and fork and scowled at the savagery on television,84,5.808
cv-valid-train/sample-002858.mp3,male,i'm not going very far the alchemist answered looking straight into the eyes of the horsemen,92,5.664
cv-valid-train/sample-002913.mp3,male,it's extremely suspicious that there's no information about brains that didn't come from a brain,96,5.064
cv-valid-train/sample-002985.mp3,male,it's extremely suspicious that there's no information about brains that didn't come from a brain,96,5.544
cv-valid-train/sample-003070.mp3,male,i heard what you were talking about the other day with the alchemist the wind said,82,4.944
cv-valid-train/sample-003108.mp3,male,the thought was so dreadful to him that he forgot about the heat and went forward,81,5.376
cv-valid-train/sample-003184.mp3,male,night fell and an assortment of fighting men and merchants entered and exited the tent,86,5.184
cv-valid-train/sample-003246.mp3,male,the closer he got to the realization of his dream the more difficult things became,82,5.544
cv-valid-train/sample-003281.mp3,male,they called that discovery the master work  it was part liquid and part solid,77,5.856
cv-valid-train/sample-003321.mp3,male,everything in life is an omen said the englishman now closing the journal he was reading,88,5.688
cv-valid-train/sample-003337.mp3,male,i have already described the appearance of that colossal bulk which was embedded in the ground,94,5.592
cv-valid-train/sample-003383.mp3,male,where your treasure is there also will be your heart the alchemist had told him,79,5.016
cv-valid-train/sample-003424.mp3,male,this was the strangest of all things that ever came to earth from outer space,77,5.664
cv-valid-train/sample-003522.mp3,male,it would be very useful if my web browser could synchronize all of its preferences not just some,96,5.304
cv-valid-train/sample-003575.mp3,male,but those who know about such things would know that those are urim and thummim,79,5.736
cv-valid-train/sample-003808.mp3,male,it could be computed in many ways which would give more or less equivalent results,82,5.736
cv-valid-train/sample-003854.mp3,male,i have already described the appearance of that colossal bulk which was embedded in the ground,94,5.376
cv-valid-train/sample-003984.mp3,male,even if you're an expert reading all of it is often not feasible due to lack of time,84,5.664
cv-valid-train/sample-004038.mp3,male,its observation probabilities are computed as a product of pixel probabilities,78,5.4
cv-valid-train/sample-004175.mp3,male,at that time it was quite clear in my own mind that the thing had come from the planet mars,91,5.496
cv-valid-train/sample-004245.mp3,male,but it is not a class that was requested by our alumni or prospective students,78,5.76
cv-valid-train/sample-004393.mp3,male,i didn't come here to have you read my palm he said already regretting having come,82,5.544
cv-valid-train/sample-004480.mp3,male,this wedge prevents the trailer from rolling down the slope in case of brake failure,84,5.496
cv-valid-train/sample-004489.mp3,male,and so despite the fact that he was a roman centurion he converted to their faith,81,5.496
cv-valid-train/sample-004512.mp3,male,after all who doesnt want to overcome new challenges and achieve great heights,78,5.328
cv-valid-train/sample-004533.mp3,male,first you need to install an extension that labels clickable elements on the page,81,5.064
cv-valid-train/sample-004606.mp3,male,as they sat down at the only table in the place the crystal merchant laughed,76,5.376
cv-valid-train/sample-004609.mp3,male,he was more confident in himself though and felt as though he could conquer the world,85,5.424
cv-valid-train/sample-004623.mp3,male,the shop folks were taking down their shutters and people were opening their bedroom windows,92,5.184
cv-valid-train/sample-004691.mp3,male,it spread through the planet's atmosphere and obscured its more familiar features,81,5.352
cv-valid-train/sample-004733.mp3,male,he wants me to write down only things that i think about but not things i plan to do,84,5.376
cv-valid-train/sample-004757.mp3,male,we have also started contemplating the possibility of moving back to colorado,77,5.184
cv-valid-train/sample-004881.mp3,male,suddenly there is so much more time in a day because she no longer has to spend hours commuting,95,5.856
cv-valid-train/sample-005006.mp3,male,suddenly the elder at the center smiled almost imperceptibly and the boy felt better,84,5.904
cv-valid-train/sample-005156.mp3,male,the heather was on fire and you could see a thin blue smoke rising up slowly,76,5.616
cv-valid-train/sample-005193.mp3,male,he loosened the reins on his horse who galloped forward over the rocks and sand,79,5.952
cv-valid-train/sample-005288.mp3,male,we don't know when the war will end so we can't continue our journey he said,76,5.808
cv-valid-train/sample-005638.mp3,male,the problem is that they don't even realize that they're walking a new road every day,85,5.112
cv-valid-train/sample-005744.mp3,male,about eleven i walked back to my home in maybury because nothing seemed to be happening,87,5.784
cv-valid-train/sample-005754.mp3,male,there was no need to imprison them the arabs simply confiscated their horses,76,5.976
cv-valid-train/sample-005877.mp3,male,i hate to think that i will have to leave but i guess thats not really up to me,79,5.856
cv-valid-train/sample-005927.mp3,male,in one he had read that many years ago a famous arabian alchemist had visited europe,84,6.0
cv-valid-train/sample-005977.mp3,male,my wife pointed out to me the brightness of the red green and yellow signal lights,82,5.16
cv-valid-train/sample-006094.mp3,male,the level ground was blackened as far as one could see and it was still giving off smoke,88,5.544
cv-valid-train/sample-006148.mp3,male,everything in life is an omen said the englishman now closing the journal he was reading,88,5.544
cv-valid-train/sample-006158.mp3,male,when he saw henderson in his garden he called over the fence and made himself understood,88,5.184
cv-valid-train/sample-006336.mp3,male,but children always seem to be able to play with them without frightening them,78,4.944
cv-valid-train/sample-006400.mp3,male,the omens will begin insistently to speak of it and you'll try to ignore them,77,4.968
cv-valid-train/sample-006673.mp3,male,it's the emerald tablet said the englishman proud that he might teach something to the boy,90,5.496
cv-valid-train/sample-006683.mp3,male,looking through the telescope i saw a circle of deep blue and the little round planet,85,5.76
cv-valid-train/sample-006760.mp3,male,i was wondering if you would work on this project with me because i cant find anyone else,89,5.736
cv-valid-train/sample-006764.mp3,male,the heat lasted until nightfall and all that time he had to carry his jacket,76,5.136
cv-valid-train/sample-006773.mp3,male,for the third quarter in succession the company didn't manage to leave red numbers,82,5.304
cv-valid-train/sample-006796.mp3,male,the guy thought he was a lunatic at large and made an unsuccessful attempt to stop him,86,5.784
cv-valid-train/sample-006815.mp3,male,had our instruments permitted it we might have been able to see the trouble way back when,89,5.16
cv-valid-train/sample-006940.mp3,male,replace the ts in tim tebow's name with any other consonant to get a star wars character,88,5.736
cv-valid-train/sample-007077.mp3,male,it was no more exciting than an overturned carriage or a tree blown across the road,83,5.088
cv-valid-train/sample-007180.mp3,male,night fell and an assortment of fighting men and merchants entered and exited the tent,86,4.944
cv-valid-train/sample-007351.mp3,male,that it was unable to deal with this boy who spoke the language of the world,76,5.256
cv-valid-train/sample-007471.mp3,male,the hand that evokes love and creates a twin soul for every person in the world,79,5.424
cv-valid-train/sample-007533.mp3,male,then you taught me something of the universal language and the soul of the world,80,4.944
cv-valid-train/sample-007570.mp3,male,had our instruments permitted it we might have been able to see the trouble way back when,89,5.496
cv-valid-train/sample-007611.mp3,male,kenneth reacted badly to the steroids he's under observation for the next hour,78,5.904
cv-valid-train/sample-007825.mp3,male,in one he had read that many years ago a famous arabian alchemist had visited europe,84,5.616
cv-valid-train/sample-008099.mp3,male,the scale model of the architects plans sat at the center of the conference room,80,5.04
cv-valid-train/sample-008208.mp3,male,the guy thought he was a lunatic at large and made an unsuccessful attempt to stop him,86,5.28
cv-valid-train/sample-008301.mp3,male,whatever the thing observed one could find a connection with his experience of the moment,89,5.088
cv-valid-train/sample-008402.mp3,male,the heather was on fire and you could see a thin blue smoke rising up slowly,76,5.472
cv-valid-train/sample-008435.mp3,male,its important that everyone especially little guys can participate in the future of the internet,96,5.28
cv-valid-train/sample-008444.mp3,male,the two men hurried back and found the cylinder still lying in the same position,80,5.304
cv-valid-train/sample-008491.mp3,male,when he saw henderson in his garden he called over the fence and made himself understood,88,5.976
cv-valid-train/sample-008664.mp3,male,it's extremely suspicious that there's no information about brains that didn't come from a brain,96,5.88
cv-valid-train/sample-008671.mp3,male,the merchants were assembling their stalls and the boy helped a candy seller to do his,86,4.968
cv-valid-train/sample-008829.mp3,male,it was my fear of failure that first kept me from attempting the master work,76,5.64
cv-valid-train/sample-008870.mp3,male,looking through the telescope i saw a circle of deep blue and the little round planet,85,5.904
cv-valid-train/sample-009074.mp3,male,when he saw henderson in his garden he called over the fence and made himself understood,88,5.064
cv-valid-train/sample-009157.mp3,male,they were known as seers and they were held in fear by women and the elderly,76,5.304
cv-valid-train/sample-009170.mp3,male,and the girl pointed to the south indicating that it was there the strange man lived,84,5.544
cv-valid-train/sample-009213.mp3,male,he dabbled in painting drawing and photography before finding his true passion,78,5.064
